Glyphname,Weight,Styles,Category,Param. 1,Param. 2,Glyph 1,Glyph 2,Glyph 3,Glyph 4
uni2150.ss07,,3,C,0,0,one.numr,fraction,seven.ss07.dnom
uni2150.cv01.ss07,,3,C,0,0,one.cv01.numr,fraction,seven.ss07.dnom
uni2150.cv11.ss07,,3,C,0,0,one.cv11.numr,fraction,seven.ss07.dnom
uni2150.cv07.ss07,,3,C,0,0,one.numr,fraction,seven.cv07.ss07.dnom
uni2150.cv01.cv07.ss07,,3,C,0,0,one.cv01.numr,fraction,seven.cv07.ss07.dnom
uni2150.cv07.cv11.ss07,,3,C,0,0,one.cv11.numr,fraction,seven.cv07.ss07.dnom
uni2150.cv17.ss07,,3,C,0,0,one.numr,fraction,seven.cv17.ss07.dnom
uni2150.cv01.cv17.ss07,,3,C,0,0,one.cv01.numr,fraction,seven.cv17.ss07.dnom
uni2150.cv11.cv17.ss07,,3,C,0,0,one.cv11.numr,fraction,seven.cv17.ss07.dnom
uni2150.ss06.ss07,,3,C,0,0,one.ss06.numr,fraction,seven.ss07.dnom
uni2150.cv01.ss06.ss07,,3,C,0,0,one.cv01.ss06.numr,fraction,seven.ss07.dnom
uni2150.cv11.ss06.ss07,,3,C,0,0,one.cv11.ss06.numr,fraction,seven.ss07.dnom
uni2150.cv07.ss06.ss07,,3,C,0,0,one.ss06.numr,fraction,seven.cv07.ss07.dnom
uni2150.cv01.cv07.ss06.ss07,,3,C,0,0,one.cv01.ss06.numr,fraction,seven.cv07.ss07.dnom
uni2150.cv07.cv11.ss06.ss07,,3,C,0,0,one.cv11.ss06.numr,fraction,seven.cv07.ss07.dnom
uni2150.cv17.ss06.ss07,,3,C,0,0,one.ss06.numr,fraction,seven.cv17.ss07.dnom
uni2150.cv01.cv17.ss06.ss07,,3,C,0,0,one.cv01.ss06.numr,fraction,seven.cv17.ss07.dnom
uni2150.cv11.cv17.ss06.ss07,,3,C,0,0,one.cv11.ss06.numr,fraction,seven.cv17.ss07.dnom
uni2151,,3,C,0,0,one.numr,fraction,nine.dnom
uni2151.cv01,,3,C,0,0,one.cv01.numr,fraction,nine.dnom
uni2151.cv11,,3,C,0,0,one.cv11.numr,fraction,nine.dnom
uni2151.cv09,,3,C,0,0,one.numr,fraction,nine.cv09.dnom
uni2151.cv01.cv09,,3,C,0,0,one.cv01.numr,fraction,nine.cv09.dnom
uni2151.cv09.cv11,,3,C,0,0,one.cv11.numr,fraction,nine.cv09.dnom
uni2151.cv19,,3,C,0,0,one.numr,fraction,nine.cv19.dnom
uni2151.cv01.cv19,,3,C,0,0,one.cv01.numr,fraction,nine.cv19.dnom
uni2151.cv11.cv19,,3,C,0,0,one.cv11.numr,fraction,nine.cv19.dnom
uni2151.ss06,,3,C,0,0,one.ss06.numr,fraction,nine.dnom
uni2151.cv01.ss06,,3,C,0,0,one.cv01.ss06.numr,fraction,nine.dnom
uni2151.cv11.ss06,,3,C,0,0,one.cv11.ss06.numr,fraction,nine.dnom
uni2151.cv09.ss06,,3,C,0,0,one.ss06.numr,fraction,nine.cv09.dnom
uni2151.cv01.cv09.ss06,,3,C,0,0,one.cv01.ss06.numr,fraction,nine.cv09.dnom
uni2151.cv09.cv11.ss06,,3,C,0,0,one.cv11.ss06.numr,fraction,nine.cv09.dnom
uni2151.cv19.ss06,,3,C,0,0,one.ss06.numr,fraction,nine.cv19.dnom
uni2151.cv01.cv19.ss06,,3,C,0,0,one.cv01.ss06.numr,fraction,nine.cv19.dnom
uni2151.cv11.cv19.ss06,,3,C,0,0,one.cv11.ss06.numr,fraction,nine.cv19.dnom
uni2152,,3,C,0,0,one.numr,fraction,one.dnom.pnum,zero.dnom.pnum
uni2152.cv10,,3,C,0,0,one.numr,fraction,one.dnom.pnum,zero.cv10.dnom.pnum
uni2152.cv20,,3,C,0,0,one.numr,fraction,one.dnom.pnum,zero.cv20.dnom.pnum
uni2152.cv01,,3,C,0,0,one.cv01.numr,fraction,one.cv01.dnom.pnum,zero.dnom.pnum
uni2152.cv01.cv10,,3,C,0,0,one.cv01.numr,fraction,one.cv01.dnom.pnum,zero.cv10.dnom.pnum
uni2152.cv01.cv20,,3,C,0,0,one.cv01.numr,fraction,one.cv01.dnom.pnum,zero.cv20.dnom.pnum
uni2152.cv11,,3,C,0,0,one.cv11.numr,fraction,one.cv11.dnom.pnum,zero.dnom.pnum
uni2152.cv10.cv11,,3,C,0,0,one.cv11.numr,fraction,one.cv11.dnom.pnum,zero.cv10.dnom.pnum
uni2152.cv11.cv20,,3,C,0,0,one.cv11.numr,fraction,one.cv11.dnom.pnum,zero.cv20.dnom.pnum
uni2152.zero,,3,C,0,0,one.numr,fraction,one.dnom.pnum,zero.zero.dnom.pnum
uni2152.cv10.zero,,3,C,0,0,one.numr,fraction,one.dnom.pnum,zero.cv10.zero.dnom.pnum
uni2152.cv20.zero,,3,C,0,0,one.numr,fraction,one.dnom.pnum,zero.cv20.zero.dnom.pnum
uni2152.cv01.zero,,3,C,0,0,one.cv01.numr,fraction,one.cv01.dnom.pnum,zero.zero.dnom.pnum
uni2152.cv01.cv10.zero,,3,C,0,0,one.cv01.numr,fraction,one.cv01.dnom.pnum,zero.cv10.zero.dnom.pnum
uni2152.cv01.cv20.zero,,3,C,0,0,one.cv01.numr,fraction,one.cv01.dnom.pnum,zero.cv20.zero.dnom.pnum
uni2152.cv11.zero,,3,C,0,0,one.cv11.numr,fraction,one.cv11.dnom.pnum,zero.zero.dnom.pnum
uni2152.cv10.cv11.zero,,3,C,0,0,one.cv11.numr,fraction,one.cv11.dnom.pnum,zero.cv10.zero.dnom.pnum
uni2152.cv11.cv20.zero,,3,C,0,0,one.cv11.numr,fraction,one.cv11.dnom.pnum,zero.cv20.zero.dnom.pnum
uni2152.ss06,,3,C,0,0,one.ss06.numr,fraction,one.ss06.dnom.pnum,zero.dnom.pnum
uni2152.cv10.ss06,,3,C,0,0,one.ss06.numr,fraction,one.ss06.dnom.pnum,zero.cv10.dnom.pnum
uni2152.cv20.ss06,,3,C,0,0,one.ss06.numr,fraction,one.ss06.dnom.pnum,zero.cv20.dnom.pnum
uni2152.cv01.ss06,,3,C,0,0,one.cv01.ss06.numr,fraction,one.cv01.ss06.dnom.pnum,zero.dnom.pnum
uni2152.cv01.cv10.ss06,,3,C,0,0,one.cv01.ss06.numr,fraction,one.cv01.ss06.dnom.pnum,zero.cv10.dnom.pnum
uni2152.cv01.cv20.ss06,,3,C,0,0,one.cv01.ss06.numr,fraction,one.cv01.ss06.dnom.pnum,zero.cv20.dnom.pnum
uni2152.cv11.ss06,,3,C,0,0,one.cv11.ss06.numr,fraction,one.cv11.ss06.dnom.pnum,zero.dnom.pnum
uni2152.cv10.cv11.ss06,,3,C,0,0,one.cv11.ss06.numr,fraction,one.cv11.ss06.dnom.pnum,zero.cv10.dnom.pnum
uni2152.cv11.cv20.ss06,,3,C,0,0,one.cv11.ss06.numr,fraction,one.cv11.ss06.dnom.pnum,zero.cv20.dnom.pnum
uni2152.ss06.zero,,3,C,0,0,one.ss06.numr,fraction,one.ss06.dnom.pnum,zero.zero.dnom.pnum
uni2152.cv10.ss06.zero,,3,C,0,0,one.ss06.numr,fraction,one.ss06.dnom.pnum,zero.cv10.zero.dnom.pnum
uni2152.cv20.ss06.zero,,3,C,0,0,one.ss06.numr,fraction,one.ss06.dnom.pnum,zero.cv20.zero.dnom.pnum
uni2152.cv01.ss06.zero,,3,C,0,0,one.cv01.ss06.numr,fraction,one.cv01.ss06.dnom.pnum,zero.zero.dnom.pnum
uni2152.cv01.cv10.ss06.zero,,3,C,0,0,one.cv01.ss06.numr,fraction,one.cv01.ss06.dnom.pnum,zero.cv10.zero.dnom.pnum
uni2152.cv01.cv20.ss06.zero,,3,C,0,0,one.cv01.ss06.numr,fraction,one.cv01.ss06.dnom.pnum,zero.cv20.zero.dnom.pnum
uni2152.cv11.ss06.zero,,3,C,0,0,one.cv11.ss06.numr,fraction,one.cv11.ss06.dnom.pnum,zero.zero.dnom.pnum
uni2152.cv10.cv11.ss06.zero,,3,C,0,0,one.cv11.ss06.numr,fraction,one.cv11.ss06.dnom.pnum,zero.cv10.zero.dnom.pnum
uni2152.cv11.cv20.ss06.zero,,3,C,0,0,one.cv11.ss06.numr,fraction,one.cv11.ss06.dnom.pnum,zero.cv20.zero.dnom.pnum
onethird,,3,C,0,0,one.numr,fraction,three.dnom
onethird.cv01,,3,C,0,0,one.cv01.numr,fraction,three.dnom
onethird.cv11,,3,C,0,0,one.cv11.numr,fraction,three.dnom
onethird.cv03,,3,C,0,0,one.numr,fraction,three.cv03.dnom
onethird.cv01.cv03,,3,C,0,0,one.cv01.numr,fraction,three.cv03.dnom
onethird.cv03.cv11,,3,C,0,0,one.cv11.numr,fraction,three.cv03.dnom
onethird.cv13,,3,C,0,0,one.numr,fraction,three.cv13.dnom
onethird.cv01.cv13,,3,C,0,0,one.cv01.numr,fraction,three.cv13.dnom
onethird.cv11.cv13,,3,C,0,0,one.cv11.numr,fraction,three.cv13.dnom
onethird.ss06,,3,C,0,0,one.ss06.numr,fraction,three.dnom
onethird.cv01.ss06,,3,C,0,0,one.cv01.ss06.numr,fraction,three.dnom
onethird.cv11.ss06,,3,C,0,0,one.cv11.ss06.numr,fraction,three.dnom
